City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
241,Sailana,IN,88.59,clear sky,23.4667,74.9167,Krishna Marriage Garden Sailana
250,Victoria,HK,80.19,few clouds,22.2855,114.1577,Mini Central
255,Mindelo,CV,78.35,broken clouds,16.8901,-24.9804,Hotel Gaudi
256,Cayenne,GF,81.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
257,Muros,ES,81.16,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
258,Gboko,NG,80.64,overcast clouds,7.3179,8.9951,Mavillah Apartment and Suites
261,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
262,Castelo Do Piaui,BR,82.0,broken clouds,-5.3222,-41.5525,Nobre Hotel
273,Bontang,ID,78.17,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
276,Fruitville,US,88.18,few clouds,27.3298,-82.4576,Hampton Inn Sarasota - I-75 Bee Ridge
278,Kununurra,AU,78.78,clear sky,-15.7667,128.7333,Hotel Kununurra
280,Soyo,AO,77.58,broken clouds,-6.1349,12.3689,Hotel Mpampa
288,Porto-Vecchio,FR,78.46,clear sky,41.591,9.2795,Hôtel Le Goéland - Casa Santini
291,Phillipsburg,US,80.85,broken clouds,40.6937,-75.1902,Grand Eastonian Hotel & Suites
293,Mineros,BO,77.32,few clouds,-17.1167,-63.2333,Colpacaranda Eco Resort
294,Jacareacanga,BR,86.74,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
298,Saint-Georges,GD,82.44,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
299,Acajutla,SV,85.75,broken clouds,13.5928,-89.8275,Laureles
304,Samarai,PG,80.91,few clouds,-10.6167,150.6667,Nuli Sapi
316,Devarkonda,IN,78.19,heavy intensity rain,16.7,78.9333,సంతోష్ టిఫిన్ సెంటర్
320,Kodinar,IN,82.83,clear sky,20.7903,70.7031,residency of N.B vadhel
323,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
326,Faanui,PF,80.4,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
327,Nandigama,IN,86.58,overcast clouds,16.7833,80.3,M.G palace
329,Road Town,VG,86.04,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
331,Dong Hoi,VN,77.58,overcast clouds,17.4833,106.6,Nam Long Hotel
334,Mittersill,AT,78.57,broken clouds,47.2667,12.4833,Sporthotel Kogler
337,Madingou,CG,77.81,overcast clouds,-4.1536,13.55,HOTEL KIM ELISA
341,Faya,SA,77.52,clear sky,18.3851,42.4509,املاك خالد الشعشوع
343,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
344,Colares,PT,87.1,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
345,Nabire,ID,75.76,broken clouds,-3.3667,135.4833,Hotel Nusantara I
348,Turayf,SA,84.45,clear sky,31.6725,38.6637,Turaif
350,Pombas,CV,76.78,broken clouds,17.1503,-25.0201,Paul Paradis
351,Saint-Pierre,RE,76.68,broken clouds,-21.3393,55.4781,Alize Plage
355,Inhambane,MZ,78.78,broken clouds,-23.865,35.3833,Oceano
357,Ko Samui,TH,83.46,overcast clouds,9.5357,99.9357,The Passage
360,Barra Do Garcas,BR,77.58,clear sky,-15.89,-52.2567,Pousada Tropical
364,Port Keats,AU,75.54,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
365,Pauini,BR,85.32,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
368,Tual,ID,83.62,few clouds,-5.6667,132.75,Grand Vilia Hotel
374,Viseu,PT,85.86,overcast clouds,40.661,-7.9097,Montebelo Viseu Congress Hotel
381,Meulaboh,ID,78.58,overcast clouds,4.1363,96.1285,Kost Pria
382,San Marcos De Colon,HN,75.72,overcast clouds,13.4333,-86.8,Hotel Colonial
385,Sao Joao Da Barra,BR,77.09,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
386,Balkanabat,TM,79.29,few clouds,39.5108,54.3671,Nebitchi Hotel
389,Hambantota,LK,80.08,scattered clouds,6.1241,81.1185,Bungalow 63
390,Ocampo,MX,77.45,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
393,Cabedelo,BR,88.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
402,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
403,Yangjiang,CN,75.04,few clouds,21.85,111.9667,HUALUXE Yangjiang City Center
404,Ixtapa,MX,79.83,few clouds,20.7,-105.2,hotel la terminal
410,Lethem,GY,85.42,broken clouds,3.3803,-59.7968,Savannah Inn
413,Tremedal,BR,87.1,overcast clouds,-14.9758,-41.4108,Pousada Estillos
422,Los Algarrobos,PA,79.21,broken clouds,8.5,-82.4333,Waterfall Hostel
425,Ugoofaaru,MV,83.41,overcast clouds,5.6667,73.0,Ungoofaaru Inn
427,Jasdan,IN,84.24,clear sky,22.0333,71.2,આવકાર હોટલ
430,Cabot,US,85.89,broken clouds,34.9745,-92.0165,Super 8 by Wyndham Cabot
434,Soddy-Daisy,US,87.12,clear sky,35.2359,-85.1908,Home Town Inn Soddy-Daisy
438,Caorle,IT,79.23,few clouds,45.5966,12.8758,Maxim
442,Grand Gaube,MU,76.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
443,Dhidhdhoo,MV,83.25,overcast clouds,6.8833,73.1,Dhidhoo beach
447,Dicabisagan,PH,77.99,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
450,Coari,BR,83.77,broken clouds,-4.085,-63.1414,Dellrey Hotel Center
455,Balugaon,IN,86.2,scattered clouds,20.1667,85.1,Kridashpur Kalyan Mandap
457,Rio Blanco,MX,89.29,broken clouds,18.8333,-97.15,HOTEL L'ORBE EN ORIZABA
460,Naliya,IN,82.54,clear sky,23.2667,68.8333,jadeja jayendrasinh
462,Aksu,CN,78.28,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
