City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Esperance,-33.8667,121.9,61.38,79,65,10.4,AU,2022-05-19 00:51:46
68,Madera,37.1666,-119.8343,92.52,13,6,9.01,US,2022-05-19 00:51:42
69,Ovalle,-30.5983,-71.2003,57.74,71,100,0.34,CL,2022-05-19 00:51:46
70,Qaqortoq,60.7167,-46.0333,34.45,88,9,4.94,GL,2022-05-19 00:51:47
71,Christchurch,-43.5333,172.6333,61.0,69,56,13.8,NZ,2022-05-19 00:49:49
72,East London,-33.0153,27.9116,76.26,36,6,13.67,ZA,2022-05-19 00:49:12
73,Kodiak,57.79,-152.4072,62.11,27,0,16.11,US,2022-05-19 00:51:48
74,Zapolyarnyy,69.4154,30.8136,33.08,90,100,13.2,RU,2022-05-19 00:51:48
75,Qaanaaq,77.484,-69.3632,27.34,87,99,5.06,GL,2022-05-19 00:51:48
76,Butaritari,3.0707,172.7902,81.66,72,100,12.46,KI,2022-05-19 00:51:49
77,Tutoia,-2.7619,-42.2744,79.86,82,100,7.45,BR,2022-05-19 00:51:49
78,Jibuti,11.5,42.5,78.57,56,100,7.94,DJ,2022-05-19 00:51:50
79,Ushuaia,-54.8,-68.3,40.66,81,75,3.44,AR,2022-05-19 00:48:26
80,Santa Cruz,-17.8,-63.1667,56.66,58,4,4.61,BO,2022-05-19 00:51:00
81,Mahebourg,-20.4081,57.7,75.49,69,20,6.91,MU,2022-05-19 00:51:50
82,Chokurdakh,70.6333,147.9167,30.97,92,100,6.67,RU,2022-05-19 00:51:51
83,Fagernes,60.9858,9.2324,39.92,96,100,2.17,NO,2022-05-19 00:51:52
84,Barrow,71.2906,-156.7887,19.42,86,100,16.11,US,2022-05-19 00:51:52
85,Arraial Do Cabo,-22.9661,-42.0278,65.91,58,3,16.44,BR,2022-05-19 00:51:52
86,Upernavik,72.7868,-56.1549,19.99,97,7,7.02,GL,2022-05-19 00:51:53
